,name,link
125,      122. Manzil La Tortue,https://www.tripadvisor.com/Hotel_Review-g293734-d1580310-Reviews-Manzil_La_Tortue-Marrakech_Marrakech_Safi.html
126,      123. Tigmiza Boutique Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d2526451-Reviews-Tigmiza_Boutique_Hotel_Spa-Marrakech_Marrakech_Safi.html
127,      124. Riad Al Badia,https://www.tripadvisor.com/Hotel_Review-g293734-d1902897-Reviews-Riad_Al_Badia-Marrakech_Marrakech_Safi.html
128,      125. Riad Safina,https://www.tripadvisor.com/Hotel_Review-g293734-d12671037-Reviews-Riad_Safina-Marrakech_Marrakech_Safi.html
129,      126. Dar Les Cigognes By Sanssouci Collection,https://www.tripadvisor.com/Hotel_Review-g293734-d506664-Reviews-Dar_Les_Cigognes_By_Sanssouci_Collection-Marrakech_Marrakech_Safi.html
130,      127. Riad Tizwa,https://www.tripadvisor.com/Hotel_Review-g293734-d642600-Reviews-Riad_Tizwa-Marrakech_Marrakech_Safi.html
131,      128. Dar Assiya,https://www.tripadvisor.com/Hotel_Review-g293734-d8805364-Reviews-Dar_Assiya-Marrakech_Marrakech_Safi.html
132,      129. Art Place Hotel & Ryad,https://www.tripadvisor.com/Hotel_Review-g293734-d7778950-Reviews-Art_Place_Hotel_Ryad-Marrakech_Marrakech_Safi.html
133,      130. Le Farnatchi,https://www.tripadvisor.com/Hotel_Review-g293734-d482531-Reviews-Le_Farnatchi-Marrakech_Marrakech_Safi.html
134,      131. La Villa Jardins D'Isa,https://www.tripadvisor.com/Hotel_Review-g11750917-d11668071-Reviews-La_Villa_Jardins_D_Isa-Tassoultante_Marrakech_Marrakech_Safi.html
135,      132. Riad La Villa Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d2073633-Reviews-Riad_La_Villa_Marrakech-Marrakech_Marrakech_Safi.html
136,      133. Riad Haraka,https://www.tripadvisor.com/Hotel_Review-g293734-d8784909-Reviews-Riad_Haraka-Marrakech_Marrakech_Safi.html
137,      134. Riad Zineb,https://www.tripadvisor.com/Hotel_Review-g293734-d1577023-Reviews-Riad_Zineb-Marrakech_Marrakech_Safi.html
138,      135. Riad Romance,https://www.tripadvisor.com/Hotel_Review-g293734-d7742017-Reviews-Riad_Romance-Marrakech_Marrakech_Safi.html
139,      136. Riad Al Rimal,https://www.tripadvisor.com/Hotel_Review-g293734-d1140436-Reviews-Riad_Al_Rimal-Marrakech_Marrakech_Safi.html
140,      137. Riad Nashira & Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d3139952-Reviews-Riad_Nashira_Spa-Marrakech_Marrakech_Safi.html
141,      138. Riad Sidi Omar,https://www.tripadvisor.com/Hotel_Review-g293734-d1413714-Reviews-Riad_Sidi_Omar-Marrakech_Marrakech_Safi.html
142,      139. Amani Hotel,https://www.tripadvisor.com/Hotel_Review-g293734-d581934-Reviews-Amani_Hotel-Marrakech_Marrakech_Safi.html
143,      140. Palm Plaza Marrakech Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d1228835-Reviews-Palm_Plaza_Marrakech_Hotel_Spa-Marrakech_Marrakech_Safi.html
144,      141. Hotel & Ryads Barriere Le Naoura Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d1194795-Reviews-Hotel_Ryads_Barriere_Le_Naoura_Marrakech-Marrakech_Marrakech_Safi.html
145,      142. Riad Nayanour,https://www.tripadvisor.com/Hotel_Review-g293734-d19949197-Reviews-Riad_Nayanour-Marrakech_Marrakech_Safi.html
146,      143. Lodge K Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d1199147-Reviews-Lodge_K_Hotel_Spa-Marrakech_Marrakech_Safi.html
147,      144. Riad de Vinci,https://www.tripadvisor.com/Hotel_Review-g293734-d1169934-Reviews-Riad_de_Vinci-Marrakech_Marrakech_Safi.html
148,      145. Riad Zara,https://www.tripadvisor.com/Hotel_Review-g293734-d633225-Reviews-Riad_Zara-Marrakech_Marrakech_Safi.html
149,      146. Hotel Aday,https://www.tripadvisor.com/Hotel_Review-g293734-d2092359-Reviews-Hotel_Aday-Marrakech_Marrakech_Safi.html
